問題,正答
三□<ちょう>□<め>,丁目
□<せ>□<かい>の国ぐに,世界
□<しゅ>□<じん>,主人
バスに□<の>る,乗
天気を□<よ>□<そう>する,予想
□<じ>□<ぜん>にしらせる,事前
□<し>□<ごと>をてつだう,仕事
□<た>□<にん>と話す,他人
□<だい>□<ひょう>をきめる,代表
このまちに□（　　）<すむ>,住む
どうぐを□（　　）<つかう>,使う
駅の□□<かかりいん>,係員
三□<ばい>にする,倍
□<さん>□<すう>,算数
□<ぜん>□<ぶ>あります,全部
□<ぐ>□<たい>てきにせつめいする,具体
□<れつ>□<しゃ>にのる,列車
人を□（　　）<たすける>,助ける
毎日□<べん>□<きょう>する,勉強
車が□（　　）<うごく>,動く
じゃんけんで□<か>つ,勝
□<か>□<せき>をさがす,化石
□<く>□<ぶん>,区分
お□<い>□<しゃ>さん,医者
□<はん>□<たい>のいけん,反対
ごみを□<と>る,取
テストを□（　　）<うける>,受ける
□<ばん>□<ごう>,番号
こちらを□<む>く,向
国の□<くん>□<しゅ>,君主
スープの□<あじ>□<み>をする,味見
□<いのち>をたいせつにする,命
日本の□<わ>□<しょく>を食べる,和食
店の□<しょう>□<ひん>,商品
□<しょう>□<ばい>をはじめる,商売
□<もん>□<だい>をとく,問題
急な□<さか>みち,坂
□<ち>□<か>てつのえき,地下
□<ば>□<しょ>,場所
大きな□<こえ>,声
店で□<う>る,売
□<ゆう>□<がた>の空,夕方
星がかがやく□<よる>,夜
□<たい>□<よう>がのぼる,太陽
□<あね>と□<いもうと>,姉妹
□（　　）<はじまる>,始まる
□<じ>を書く,字
やさいが□（　　）<やすい>,安い
きょうの□<やど>,宿
□<しゅく>□<ば>まち,宿場
気もちが□（　　）<さだまる>,定まる
神社のお□<みや>,宮
□<いえ>をたてる,家
□（　　）<さむい>日,寒い
お□<てら>におまいりする,寺
□（　　）<ちいさい>犬,小さい
□（　　）<すこし>たべる,少し
□□□<やおや>,八百屋
おかしの□<こう>□<じょう>,工場
はちおうじ□<し>,市
いえに□（　　）<かえる>,帰る
こうえんが□（　　）<ひろい>,広い
この□<ど>□<あい>はむずかしい,度合
ひもを□<ひ>く,引く
□<おとうと>,弟
からだが□（　　）<よわい>,弱い
こころが□（　　）<つよい>,強い
今日の□<とう>□<ばん>,当番
□<かたち>をととのえる,形
□<やく>□<め>をはたす,役目
バスを□<ま>つ,待つ
□<きゅう>に止まる,急
□（　　）<おもう>,思う
□（　　）<わるい>人,悪い
□<い>□<けん>を言う,意見
荷物を□<も>つ,持
□（　　）<ひろう>,拾う
方角を□（　　）<さす>,指す
鳥を□（　　）<はなす>,放す
□<りょ>□<こう>に行く,旅行
□<か>□<ぞく>で出かける,家族
むかし□<ばなし>を聞く,昔話
□<はる>の花,春
□<ひる>の空,昼
□<は>れた日,晴れ
□（　　）<あつい>□<なつ>,暑い夏
□（　　）<くらい>へや,暗い
□<きょく>□<せん>をえがく,曲線
□<ゆう>□<めい>な人,有名
3年生の□<き>□<かん>,期間
つくえの□<いた>,板
家の□<はしら>,柱
木の□<ね>,根
木を□（　　）<うえる>,植える
空の□<よう>□<す>,様子
□<よこ>の線,横
川に□<はし>をかける,橋
□<つぎ>のページを開く,次
□<は>をみがく,歯
車を□（　　）<とめる>,止める
□（　　）<ただしい>答え,正しい
人が□<し>ぬ,死
□<いけ>の水,池
□（　　）<きめる>,決める
□<き>□<しゃ>にのる,汽車
川が□（　　）<ながれる>,流れる
火を□（　　）<けす>,消す
海が□（　　）<ふかい>,深い
□<おん>□<ど>をはかる,温度
□<みなと>の船,港
おふろの□<ゆ>□<ぶね>,湯船
□<かん>□<じ>をならう,漢字
テストの□<てん>をつける,点
電車が□<はっ>□<しゃ>する,発車
山に□（　　）<のぼる>,登る
□<ひ>ふがかゆい,皮
□<さら>をあらう,皿
□□□□<ちばけんない>,県内
□□<しゃしん>をとる,写真
□<ふく>を□<き>る,服、着る
□（　　）<みじかい>□<ぶん>,短い、文
夏休みの□□□□<じゆうけんきゅう>,自由研究
お□<れい>をする,礼
□<かみ>□<さま>にいのる,神様
お□（　　）<まつり>に行く,祭り
しあいが□（　　）<おわる>,終わる
□<なら>い□<ごと>をする,習い事
□<ふで>でえをかく,筆
本やノート□<など>を買う,等
おもちゃを入れる□<はこ>,箱
クラスの□<きゅう>□<ちょう>,級長
道に□<せん>を引く,線
毎日□<れん>□<しゅう>する,練習
□<ひつじ>の毛,羊
□（　　）<うつくしい>花,美しい
鳥の□<はね>,羽
子どもを□（　　）<そだてる>,育てる
□<ちょう>□<ない>に住む,町内
□<じ>□<てん>□<しゃ>にのる,自転車
□<ふね>にのる,船
□（　　）<くるしむ>,苦しむ
□<に>□<もつ>をはこぶ,荷物
木の□<は>がおちる,葉
□<くすり>をのむ,薬
血が□（　　）<なが>れる,流
□<し>をよむ,詩
□（　　）<しらべる>,調
ふたりの□<だん>□<わ>,談話
□<まめ>をまく,豆
□（　　）<まける>がかち,負ける
□（　　）<おきる>,起きる
□<どう>□<ろ>をあるく,道路
□<しん>□<たい>そくてい,身体
タイヤが□（　　）<まわる>,回る
□<けい>□<じ>□<どう>□<しゃ>,軽自動車
□<のう>□<か>のしごと,農家
はしるのが□（　　）<はやい>,速い
□（　　）<すすむ>,進む
にもつを□（　　）<はこぶ>,運ぶ
こうえんで□（　　）<あそぶ>,遊ぶ
□<ぶ>□<かつ>□<どう>,部活動
とうきょう□<と>,都
しんぶんを□（　　）<くばる>,配る
お□<さけ>をのむ,酒
□<おも>い石,重い
□<てつ>□<どう>,鉄道
かがみで□<かお>を見る,顔
□<たい>□<よう>,太陽
いえの□<に>□<かい>,二階
人が□（　　）<あつまる>,集まる
□<もん>□<だい>を出す,問題
みずを□（　　）<のむ>,飲む
□<えき>□<まえ>,駅前
□<はな>がつまる,鼻